step,epoch,loss_jepa,loss_total,lr,grad_norm,throughput,val_loss
306,4,0.489786,0.489786,6.43e-06,0.2859,0.08,
307,4,0.492041,0.492041,6.73e-06,0.2622,0.08,
308,4,0.483112,0.483112,7.02e-06,0.5783,0.08,
309,4,0.480288,0.480288,7.31e-06,0.4270,0.08,
310,4,0.484592,0.484592,7.60e-06,0.1821,0.08,
311,4,0.484888,0.484888,7.89e-06,0.2990,0.08,
312,4,0.487485,0.487485,8.19e-06,0.2379,0.08,
313,4,0.485729,0.485729,8.48e-06,0.3337,0.08,
314,4,0.494677,0.494677,8.77e-06,0.1883,0.08,
314,4,,,,,,0.486326
315,4,0.481682,0.481682,9.06e-06,0.2281,0.01,
316,4,0.483281,0.483281,9.36e-06,0.3239,0.08,
317,4,0.481737,0.481737,9.65e-06,0.2575,0.08,
318,4,0.491566,0.491566,9.94e-06,0.2337,0.08,
319,4,0.486714,0.486714,1.02e-05,0.2118,0.08,
320,4,0.482933,0.482933,1.05e-05,0.1879,0.09,
321,4,0.482868,0.482868,1.08e-05,0.2467,0.09,
322,4,0.481218,0.481218,1.11e-05,0.2707,0.07,
323,4,0.485496,0.485496,1.14e-05,0.2627,0.08,
324,4,0.478996,0.478996,1.17e-05,0.1918,0.08,
325,4,0.492429,0.492429,1.20e-05,0.1877,0.09,
326,4,0.481283,0.481283,1.23e-05,0.2180,0.09,
327,4,0.487943,0.487943,1.26e-05,0.3058,0.08,
328,4,0.483108,0.483108,1.29e-05,0.1864,0.08,
329,4,0.474333,0.474333,1.32e-05,0.1885,0.08,
329,4,,,,,,0.480905
330,4,0.478861,0.478861,1.35e-05,0.2880,0.01,
331,4,0.482586,0.482586,1.37e-05,0.3223,0.08,
332,4,0.476885,0.476885,1.40e-05,0.2078,0.08,
333,4,0.471159,0.471159,1.43e-05,0.5333,0.08,
334,4,0.480579,0.480579,1.46e-05,0.1193,0.08,
335,4,0.475482,0.475482,1.49e-05,0.1987,0.08,
336,4,0.477167,0.477167,1.52e-05,0.1115,0.08,
337,4,0.484065,0.484065,1.55e-05,0.2293,0.09,
338,4,0.472375,0.472375,1.58e-05,0.9323,0.08,
339,4,0.467455,0.467455,1.61e-05,0.3379,0.08,
340,4,0.487654,0.487654,1.64e-05,0.3910,0.09,
341,4,0.484473,0.484473,1.67e-05,0.3565,0.09,
342,4,0.481627,0.481627,1.70e-05,0.2871,0.08,
343,4,0.478839,0.478839,1.73e-05,0.1490,0.08,
344,4,0.477197,0.477197,1.75e-05,0.2153,0.08,
344,4,,,,,,0.480041
345,4,0.479377,0.479377,1.78e-05,0.2208,0.01,
346,4,0.475641,0.475641,1.81e-05,0.1430,0.08,
347,4,0.474456,0.474456,1.84e-05,0.2744,0.08,
348,4,0.477263,0.477263,1.87e-05,0.3692,0.08,
349,4,0.476959,0.476959,1.90e-05,0.1589,0.08,
350,4,0.480173,0.480173,1.93e-05,0.2666,0.08,
351,4,0.478536,0.478536,1.96e-05,0.1690,0.08,
352,4,0.477166,0.477166,1.99e-05,0.1833,0.08,
353,4,0.478232,0.478232,2.02e-05,0.2071,0.08,
354,4,0.482021,0.482021,2.05e-05,0.1714,0.08,
355,4,0.473865,0.473865,2.08e-05,0.1970,0.08,
356,4,0.472342,0.472342,2.11e-05,0.1330,0.08,
357,4,0.472720,0.472720,2.13e-05,0.3206,0.08,
358,4,0.475563,0.475563,2.16e-05,0.1683,0.08,
359,4,0.478370,0.478370,2.19e-05,0.2287,0.08,
359,4,,,,,,0.474238
360,4,0.477987,0.477987,2.22e-05,0.2466,0.01,
361,4,0.469938,0.469938,2.25e-05,0.2456,0.13,
362,4,0.476272,0.476272,2.28e-05,0.1708,0.10,
363,4,0.479828,0.479828,2.31e-05,0.2262,0.10,
364,4,0.483896,0.483896,2.34e-05,0.2642,0.09,
365,4,0.477976,0.477976,2.37e-05,0.1569,0.09,
366,4,0.479727,0.479727,2.40e-05,0.2062,0.09,
367,4,0.482338,0.482338,2.43e-05,0.2765,0.08,
368,4,0.477553,0.477553,2.46e-05,0.1309,0.08,
369,4,0.477164,0.477164,2.49e-05,0.1567,0.08,
370,4,0.473617,0.473617,2.51e-05,0.1343,0.08,
371,4,0.473966,0.473966,2.54e-05,0.2356,0.08,
372,4,0.471080,0.471080,2.57e-05,0.1949,0.08,
373,4,0.466185,0.466185,2.60e-05,0.1871,0.07,
374,4,0.468704,0.468704,2.63e-05,0.1523,0.07,
374,4,,,,,,0.472858
375,4,0.467225,0.467225,2.66e-05,0.2351,0.01,
376,4,0.470993,0.470993,2.69e-05,0.1581,0.08,
377,4,0.476458,0.476458,2.72e-05,0.1880,0.08,
378,4,0.479417,0.479417,2.75e-05,0.1484,0.08,
